2927, 1602, 2986, 1602, 2986, 1625, 2927, 1625, small-vehicle, 66
2104, 269, 2132, 269, 2132, 328, 2104, 328, small-vehicle, 148
2273, 2096, 2299, 2096, 2299, 2153, 2273, 2153, small-vehicle, 564
2309, 2102, 2339, 2102, 2339, 2164, 2309, 2164, small-vehicle, 568
1996, 2044, 2028, 2044, 2028, 2106, 1996, 2106, small-vehicle, 593
2289, 1956, 2321, 1956, 2321, 2019, 2289, 2019, small-vehicle, 632
1964, 1891, 1995, 1891, 1995, 1949, 1964, 1949, small-vehicle, 660
2291, 1878, 2323, 1878, 2323, 1938, 2291, 1938, small-vehicle, 666
1960, 1828, 1987, 1828, 1987, 1878, 1960, 1878, small-vehicle, 704
2289, 1788, 2320, 1788, 2320, 1856, 2289, 1856, small-vehicle, 718
2249, 1708, 2283, 1708, 2283, 1778, 2249, 1778, small-vehicle, 761
1956, 1754, 1987, 1754, 1987, 1815, 1956, 1815, small-vehicle, 762
1946, 1626, 1976, 1626, 1976, 1687, 1946, 1687, small-vehicle, 813
3488, 1706, 3515, 1706, 3515, 1765, 3488, 1765, small-vehicle, 815
2487, 1659, 2541, 1659, 2541, 1690, 2487, 1690, small-vehicle, 818
1955, 1581, 1979, 1581, 1979, 1620, 1955, 1620, small-vehicle, 840
1934, 1531, 1952, 1531, 1952, 1566, 1934, 1566, small-vehicle, 885
3572, 1519, 3611, 1519, 3611, 1542, 3572, 1542, small-vehicle, 886
1939, 1462, 1962, 1462, 1962, 1521, 1939, 1521, small-vehicle, 892
3504, 1527, 3563, 1527, 3563, 1552, 3504, 1552, small-vehicle, 894
2262, 1390, 2296, 1390, 2296, 1457, 2262, 1457, small-vehicle, 917
2238, 1431, 2273, 1431, 2273, 1493, 2238, 1493, small-vehicle, 921
2052, 2085, 2080, 2085, 2080, 2135, 2052, 2135, small-vehicle, 930
2259, 1313, 2290, 1313, 2290, 1379, 2259, 1379, small-vehicle, 944
1929, 1334, 1957, 1334, 1957, 1391, 1929, 1391, small-vehicle, 949
3213, 1620, 3267, 1620, 3267, 1643, 3213, 1643, small-vehicle, 962
1049, 1360, 1115, 1360, 1115, 1394, 1049, 1394, small-vehicle, 964
847, 1377, 907, 1377, 907, 1408, 847, 1408, small-vehicle, 966
3675, 1595, 3729, 1595, 3729, 1622, 3675, 1622, small-vehicle, 969
1224, 1352, 1252, 1352, 1252, 1401, 1224, 1401, small-vehicle, 971
1220, 1559, 1257, 1559, 1257, 1585, 1220, 1585, small-vehicle, 975
1924, 1268, 1953, 1268, 1953, 1325, 1924, 1325, small-vehicle, 981
2222, 1280, 2253, 1280, 2253, 1342, 2222, 1342, small-vehicle, 986
976, 1369, 1036, 1369, 1036, 1400, 976, 1400, small-vehicle, 987
1127, 1357, 1187, 1357, 1187, 1386, 1127, 1386, small-vehicle, 989
745, 1304, 806, 1304, 806, 1335, 745, 1335, small-vehicle, 990
2652, 1652, 2705, 1652, 2705, 1679, 2652, 1679, small-vehicle, 994
1951, 1196, 1982, 1196, 1982, 1252, 1951, 1252, small-vehicle, 996
367, 1330, 422, 1330, 422, 1354, 367, 1354, small-vehicle, 997
1924, 1205, 1949, 1205, 1949, 1263, 1924, 1263, small-vehicle, 998
2259, 1245, 2286, 1245, 2286, 1305, 2259, 1305, small-vehicle, 1001
433, 1329, 486, 1329, 486, 1351, 433, 1351, small-vehicle, 1008
1108, 1273, 1181, 1273, 1181, 1306, 1108, 1306, small-vehicle, 1009
2038, 1948, 2070, 1948, 2070, 2018, 2038, 2018, small-vehicle, 1010
949, 1288, 1020, 1288, 1020, 1321, 949, 1321, small-vehicle, 1012
659, 1306, 704, 1306, 704, 1333, 659, 1333, small-vehicle, 1013
1032, 1281, 1091, 1281, 1091, 1313, 1032, 1313, small-vehicle, 1014
2258, 1191, 2280, 1191, 2280, 1231, 2258, 1231, small-vehicle, 1017
2030, 1797, 2060, 1797, 2060, 1852, 2030, 1852, small-vehicle, 1032
2651, 1187, 2682, 1187, 2682, 1242, 2651, 1242, small-vehicle, 1033
2609, 1664, 2644, 1664, 2644, 1711, 2609, 1711, small-vehicle, 1038
1922, 1132, 1949, 1132, 1949, 1191, 1922, 1191, small-vehicle, 1039
2216, 1099, 2241, 1099, 2241, 1154, 2216, 1154, small-vehicle, 1056
3492, 1782, 3523, 1782, 3523, 1837, 3492, 1837, small-vehicle, 1069
3149, 1614, 3202, 1614, 3202, 1651, 3149, 1651, small-vehicle, 1071
511, 1116, 542, 1116, 542, 1169, 511, 1169, small-vehicle, 1076
2173, 1069, 2207, 1069, 2207, 1144, 2173, 1144, large-vehicle, 1078
1917, 1059, 1944, 1059, 1944, 1114, 1917, 1114, small-vehicle, 1079
2243, 1027, 2270, 1027, 2270, 1078, 2243, 1078, small-vehicle, 1086
2775, 1175, 2808, 1175, 2808, 1238, 2775, 1238, small-vehicle, 1088
1224, 1015, 1243, 1015, 1243, 1055, 1224, 1055, small-vehicle, 1104
2238, 964, 2265, 964, 2265, 1013, 2238, 1013, small-vehicle, 1113
1911, 977, 1938, 977, 1938, 1032, 1911, 1032, small-vehicle, 1115
1180, 986, 1228, 986, 1228, 1012, 1180, 1012, small-vehicle, 1116
815, 992, 871, 992, 871, 1020, 815, 1020, small-vehicle, 1121
3505, 1939, 3531, 1939, 3531, 1994, 3505, 1994, small-vehicle, 1122
1094, 985, 1149, 985, 1149, 1013, 1094, 1013, small-vehicle, 1135
748, 924, 803, 924, 803, 948, 748, 948, small-vehicle, 1139
1904, 896, 1934, 896, 1934, 951, 1904, 951, small-vehicle, 1140
1936, 870, 1981, 870, 1981, 988, 1936, 988, large-vehicle, 1141
2205, 915, 2232, 915, 2232, 965, 2205, 965, small-vehicle, 1142
927, 986, 978, 986, 978, 1014, 927, 1014, small-vehicle, 1144
2833, 1636, 2894, 1636, 2894, 1667, 2833, 1667, small-vehicle, 1151
1139, 913, 1208, 913, 1208, 942, 1139, 942, small-vehicle, 1155
595, 930, 642, 930, 642, 954, 595, 954, small-vehicle, 1156
653, 929, 707, 929, 707, 954, 653, 954, small-vehicle, 1157
971, 916, 1026, 916, 1026, 942, 971, 942, small-vehicle, 1159
3059, 1627, 3116, 1627, 3116, 1655, 3059, 1655, small-vehicle, 1164
1903, 823, 1933, 823, 1933, 883, 1903, 883, small-vehicle, 1168
2202, 823, 2233, 823, 2233, 884, 2202, 884, small-vehicle, 1175
336, 2038, 391, 2038, 391, 2072, 336, 2072, small-vehicle, 1177
1228, 857, 1253, 857, 1253, 906, 1228, 906, small-vehicle, 1179
3501, 1599, 3556, 1599, 3556, 1628, 3501, 1628, small-vehicle, 1182
2978, 1629, 3043, 1629, 3043, 1661, 2978, 1661, small-vehicle, 1192
