1854, 297, 1883, 297, 1883, 353, 1854, 353, small-vehicle, 0
2191, 358, 2219, 358, 2219, 412, 2191, 412, small-vehicle, 1
1860, 368, 1886, 368, 1886, 422, 1860, 422, small-vehicle, 2
2043, 811, 2072, 811, 2072, 865, 2043, 865, small-vehicle, 3
1871, 53, 1900, 53, 1900, 110, 1871, 110, small-vehicle, 4
2200, 655, 2231, 655, 2231, 711, 2200, 711, small-vehicle, 5
1223, 935, 1251, 935, 1251, 993, 1223, 993, small-vehicle, 6
1527, 1171, 1580, 1171, 1580, 1196, 1527, 1196, small-vehicle, 7
2177, 517, 2205, 517, 2205, 573, 2177, 573, small-vehicle, 8
3222, 1017, 3284, 1017, 3284, 1043, 3222, 1043, small-vehicle, 9
1046, 1050, 1096, 1050, 1096, 1075, 1046, 1075, small-vehicle, 10
402, 1059, 462, 1059, 462, 1083, 402, 1083, small-vehicle, 11
1249, 362, 1274, 362, 1274, 421, 1249, 421, small-vehicle, 12
3640, 1243, 3691, 1243, 3691, 1269, 3640, 1269, small-vehicle, 13
2678, 1108, 2734, 1108, 2734, 1133, 2678, 1133, small-vehicle, 14
2057, 1355, 2094, 1355, 2094, 1416, 2057, 1416, small-vehicle, 15
1144, 1045, 1196, 1045, 1196, 1071, 1144, 1071, small-vehicle, 16
2185, 282, 2218, 282, 2218, 348, 2185, 348, small-vehicle, 17
1640, 1098, 1699, 1098, 1699, 1133, 1640, 1133, small-vehicle, 18
2155, 440, 2212, 440, 2212, 499, 2155, 499, small-vehicle, 19
1993, 712, 2023, 712, 2023, 772, 1993, 772, small-vehicle, 20
1883, 216, 1913, 216, 1913, 282, 1883, 282, small-vehicle, 21
1643, 1250, 1703, 1250, 1703, 1274, 1643, 1274, small-vehicle, 22
2484, 1281, 2540, 1281, 2540, 1305, 2484, 1305, small-vehicle, 23
2095, 1555, 2128, 1555, 2128, 1616, 2095, 1616, small-vehicle, 24
100, 1062, 156, 1062, 156, 1087, 100, 1087, small-vehicle, 25
2210, 738, 2238, 738, 2238, 790, 2210, 790, small-vehicle, 26
777, 1050, 836, 1050, 836, 1079, 777, 1079, small-vehicle, 27
2178, 1847, 2208, 1847, 2208, 1905, 2178, 1905, small-vehicle, 28
2252, 1435, 2285, 1435, 2285, 1505, 2252, 1505, small-vehicle, 29
2549, 1593, 2619, 1593, 2619, 1625, 2549, 1625, small-vehicle, 30
2133, 1892, 2160, 1892, 2160, 1943, 2133, 1943, small-vehicle, 31
2191, 579, 2227, 579, 2227, 643, 2191, 643, small-vehicle, 32
1934, 863, 1968, 863, 1968, 922, 1934, 922, small-vehicle, 33
2757, 1100, 2819, 1100, 2819, 1127, 2757, 1127, small-vehicle, 34
2212, 832, 2243, 832, 2243, 898, 2212, 898, small-vehicle, 35
1935, 381, 1964, 381, 1964, 438, 1935, 438, small-vehicle, 36
2155, 1976, 2181, 1976, 2181, 2028, 2155, 2028, small-vehicle, 37
3005, 1097, 3070, 1097, 3070, 1123, 3005, 1123, small-vehicle, 38
228, 930, 254, 930, 254, 978, 228, 978, small-vehicle, 39
2174, 715, 2203, 715, 2203, 773, 2174, 773, small-vehicle, 40
1264, 53, 1295, 53, 1295, 107, 1264, 107, small-vehicle, 41
2644, 1025, 2697, 1025, 2697, 1051, 2644, 1051, small-vehicle, 42
1247, 296, 1270, 296, 1270, 342, 1247, 342, small-vehicle, 43
1677, 1171, 1745, 1171, 1745, 1196, 1677, 1196, small-vehicle, 44
1380, 1171, 1435, 1171, 1435, 1199, 1380, 1199, small-vehicle, 45
2153, 195, 2180, 195, 2180, 257, 2153, 257, small-vehicle, 46
909, 1052, 967, 1052, 967, 1081, 909, 1081, small-vehicle, 47
2205, 514, 2231, 514, 2231, 565, 2205, 565, small-vehicle, 48
3013, 1022, 3065, 1022, 3065, 1047, 3013, 1047, small-vehicle, 49
30, 1064, 90, 1064, 90, 1092, 30, 1092, small-vehicle, 50
505, 1054, 570, 1054, 570, 1081, 505, 1081, small-vehicle, 51
2070, 1416, 2108, 1416, 2108, 1483, 2070, 1483, small-vehicle, 52
1379, 1214, 1439, 1214, 1439, 1240, 1379, 1240, small-vehicle, 53
2666, 1594, 2723, 1594, 2723, 1619, 2666, 1619, small-vehicle, 54
269, 1296, 327, 1296, 327, 1321, 269, 1321, small-vehicle, 55
2927, 1280, 2989, 1280, 2989, 1305, 2927, 1305, small-vehicle, 56
3462, 857, 3490, 857, 3490, 913, 3462, 913, small-vehicle, 57
1101, 1185, 1162, 1185, 1162, 1213, 1101, 1213, small-vehicle, 58
3343, 2054, 3378, 2054, 3378, 2117, 3343, 2117, small-vehicle, 59
2131, 1484, 2170, 1484, 2170, 1553, 2131, 1553, small-vehicle, 60
1965, 1572, 1991, 1572, 1991, 1627, 1965, 1627, small-vehicle, 61
586, 1052, 640, 1052, 640, 1079, 586, 1079, small-vehicle, 62
3384, 935, 3419, 935, 3419, 996, 3384, 996, small-vehicle, 63
1107, 1296, 1157, 1296, 1157, 1320, 1107, 1320, small-vehicle, 64
3127, 1018, 3202, 1018, 3202, 1045, 3127, 1045, small-vehicle, 65
2134, 61, 2186, 61, 2186, 112, 2134, 112, small-vehicle, 66
826, 1191, 884, 1191, 884, 1218, 826, 1218, small-vehicle, 67
2290, 2110, 2323, 2110, 2323, 2164, 2290, 2164, small-vehicle, 68
