frame_number,latitude,longitude,gps_displacement_wrt_ref,pix_displacement_wrt_ref,is_reference
1,38.012993,23.753021,0.0,0.0,True
2,38.012993,23.753021,0.0,0.0,False
3,38.012993,23.753021,0.0,0.0,False
4,38.012993,23.753021,0.0,0.0,False
5,38.012993,23.753021,0.0,0.0,False
6,38.012993,23.753022,0.08760727141774802,1.3141090712662202,False
7,38.012993,23.753022,0.08760727141774802,1.3141090712662202,False
8,38.012993,23.753022,0.08760727141774802,1.3141090712662202,False
9,38.012994,23.753022,0.14156039541344978,2.123405931201747,False
10,38.012994,23.753022,0.14156039541344978,2.123405931201747,False
11,38.012994,23.753022,0.14156039541344978,2.123405931201747,False
12,38.012994,23.753022,0.14156039541344978,2.123405931201747,False
13,38.012994,23.753022,0.14156039541344978,2.123405931201747,False
14,38.012995,23.753023,0.2831207898946265,4.246811848419398,False
15,38.012995,23.753023,0.2831207898946265,4.246811848419398,False
16,38.012995,23.753023,0.2831207898946265,4.246811848419398,False
17,38.012997,23.753023,0.478047195708124,7.17070793562186,False
18,38.012997,23.753023,0.478047195708124,7.17070793562186,False
19,38.012998,23.753024,0.614965929263935,9.224488938959025,False
20,38.012998,23.753024,0.614965929263935,9.224488938959025,False
21,38.012998,23.753024,0.614965929263935,9.224488938959025,False
22,38.013,23.753025,0.8536110387071073,12.80416558060661,False
23,38.013,23.753025,0.8536110387071073,12.80416558060661,False
24,38.013002,23.753026,1.0924216559300692,16.38632483895104,False
25,38.013002,23.753026,1.0924216559300692,16.38632483895104,False
26,38.013002,23.753026,1.0924216559300692,16.38632483895104,False
27,38.013004,23.753027,1.3313087167664615,19.969630751496922,False
28,38.013004,23.753027,1.3313087167664615,19.969630751496922,False
29,38.013007,23.753028,1.6731651709202422,25.097477563803633,False
30,38.013007,23.753028,1.6731651709202422,25.097477563803633,False
31,38.013007,23.753028,1.6731651709202422,25.097477563803633,False
32,38.01301,23.75303,2.048161051595579,30.722415773933683,False
33,38.01301,23.75303,2.048161051595579,30.722415773933683,False
34,38.013013,23.753031,2.390235945194491,35.85353917791736,False
35,38.013013,23.753031,2.390235945194491,35.85353917791736,False
36,38.013016,23.753033,2.7651266593114707,41.47689988967206,False
37,38.013016,23.753033,2.7651266593114707,41.47689988967206,False
38,38.013016,23.753033,2.7651266593114707,41.47689988967206,False
39,38.013019,23.753034,3.1073067115837265,46.6096006737559,False
40,38.013019,23.753034,3.1073067115837265,46.6096006737559,False
41,38.013019,23.753034,3.1073067115837265,46.6096006737559,False
42,38.013023,23.753036,3.5853538846270028,53.78030826940504,False
43,38.013023,23.753036,3.5853538846270028,53.78030826940504,False
44,38.013027,23.753038,4.063401054786856,60.951015821802834,False
45,38.013027,23.753038,4.063401054786856,60.951015821802834,False
46,38.013031,23.75304,4.541448220707152,68.12172331060728,False
47,38.013031,23.75304,4.541448220707152,68.12172331060728,False
48,38.013031,23.75304,4.541448220707152,68.12172331060728,False
49,38.013035,23.753042,5.0194953839721785,75.29243075958267,False
50,38.013035,23.753042,5.0194953839721785,75.29243075958267,False
51,38.013035,23.753042,5.0194953839721785,75.29243075958267,False
52,38.01304,23.753045,5.633256723083848,84.49885084625772,False
53,38.01304,23.753045,5.633256723083848,84.49885084625772,False
54,38.013045,23.753047,6.214613275104402,93.21919912656604,False
55,38.013045,23.753047,6.214613275104402,93.21919912656604,False
56,38.01305,23.753049,6.796239454058729,101.94359181088093,False
57,38.01305,23.753049,6.796239454058729,101.94359181088093,False
58,38.01305,23.753049,6.796239454058729,101.94359181088093,False
59,38.013055,23.753052,7.4097311451829775,111.14596717774467,False
60,38.013055,23.753052,7.4097311451829775,111.14596717774467,False
61,38.01306,23.753055,8.023448538939762,120.35172808409644,False
62,38.01306,23.753055,8.023448538939762,120.35172808409644,False
63,38.01306,23.753055,8.023448538939762,120.35172808409644,False
64,38.013066,23.753057,8.70840118819326,130.62601782289892,False
65,38.013066,23.753057,8.70840118819326,130.62601782289892,False
66,38.013066,23.753057,8.70840118819326,130.62601782289892,False
67,38.013071,23.75306,9.321919690676015,139.82879536014022,False
68,38.013071,23.75306,9.321919690676015,139.82879536014022,False
69,38.013077,23.753063,10.038990381578499,150.5848557236775,False
70,38.013077,23.753063,10.038990381578499,150.5848557236775,False
71,38.013077,23.753063,10.038990381578499,150.5848557236775,False
72,38.013083,23.753066,10.756061063860852,161.34091595791278,False
73,38.013083,23.753066,10.756061063860852,161.34091595791278,False
74,38.013089,23.753069,11.473131738258182,172.09697607387272,False
